Pos	Jugador	Club	Puntos	Categoría
1418	Campodonico, Diego M               	Padilla                       	974	4
1419	Garcia, Miguel                     	Libre                         	973	4
1420	Liebana, Sebastian                 	La Legión TDM                 	973	4
1421	Vergara, Coralia del Carmen        	Rioja                         	972	4
1422	Quiroga, Gustavo                   	Ingeniero Acosta              	972	4
1423	Girotti, Adrian                    	Banco Nacion                  	972	4
1424	Malave, Alberto                    	Libertad                      	972	4
1425	Battaglini, Alejandro              	Alvear Club                   	972	4
1426	Beviglia, Alejandro                	Rioja                         	971	4
1427	Vique, Daniel                      	TMR                           	971	4
1428	Lacoa, Marcos                      	Arg Takkyu                    	971	4
1429	Higa, Facundo E                    	Asoc. Jap. Burzaco            	971	4
1430	Plaskin, Gabriel                   	Libre                         	970	4
1431	Cajal, Eduardo Ignacio             	Oeste TDM                     	970	4
1432	Mauas, Adrián                      	CTDM Nizetich                 	970	4
1433	Crovara, Alberto                   	Top Minc                      	970	4
1434	Vaisenstein, Claudio               	Libre                         	969	4
1435	Lara, Diego                        	Rioja                         	969	4
1436	Oliveira Mori, Dorian              	Libre                         	969	4
1437	Blaksley, Carlos                   	Libre                         	968	4
1438	Opazo, David                       	Padilla                       	968	4
1439	Camiser, Sebastián                 	Nichia Gakuin                 	967	4
1440	Sosa Torales, Álvaro               	Oeste TDM                     	967	4
1441	Sasson, Maximiliano D              	Sociedad Hebraica             	966	4
1442	Muralidharan, Ambarish             	La Legión TDM                 	966	4
1443	Novaro, Sergio                     	Banco Nacion                  	966	4
1444	Rossi, Sebastian                   	Peretz                        	966	4
1445	Ferrero, Gonzalo                   	CEDIMA                        	965	4
1446	Cardalda, Gustavo                  	Fenix                         	965	4
1447	Jorge, Joel                        	Ingeniero Acosta              	965	4
1448	Poloni Napoli, Valentin            	Libertad                      	965	4
1449	Anzardi, Martin                    	Fulgor Villa Crespo           	965	4
1450	Campbell, Roger P.                 	La Legión TDM                 	964	4
1451	Burstein, Gustavo                  	Macabi                        	964	4
1452	Von Eckstein, Juan Jose            	GTM                           	964	4
1453	De Falco, Matías                   	Libre                         	963	4
1454	Akamine, Nicolás                   	Peretz                        	963	4
1455	Aranda, Santiago                   	Spin TDM                      	963	4
1456	Vazquez Magnani, Pablo G.          	Nikkei TDM                    	963	4
1457	Gulloni, Fernando                  	Inst.Atlet. Cultural          	963	4
1458	Pisabarro, Mauricio                	Libre                         	962	4
1459	Ferrero, Santiago                  	CEDIMA                        	961	4
1460	Aguirre, Miqueas                   	Club Italiano JCPaz           	961	4
1461	Rodriguez, Gonzalo                 	Arg Takkyu                    	961	4
1462	Bedoian, Joaquin                   	Asoc. Yabrudense              	961	4
1463	Lucero, Juan Roberto               	CAVA                          	960	4
1464	Ruiz, Mateo Jose                   	Ateneo de Versailles          	960	4
1465	Martinez, Mario Raúl               	Club La Quinta                	959	4
1466	Canteros, Cristian                 	Ferrocarril Oeste             	959	4
1467	Spinelli, Gonzalo                  	Banco Nacion                  	959	4
1468	Pirelli, Nelson                    	Ferrocarril Oeste             	958	4
1469	Ojeda, Martín                      	El Galpong                    	957	4
1470	Cañizales, Efrain                  	CEDIMA                        	957	4
1471	Fernandez Mugica, Santiago         	Arg Takkyu                    	957	4
1472	Cerraburu, Tomás                   	Rioja                         	957	4
1473	Gonzalez, María                    	Peretz                        	956	4
1474	Bebebino, Natalia                  	Top Minc                      	956	4
1475	Aspauzo, Pablo                     	Libre                         	956	4
1476	Cuska, Danilo                      	Adrogue Sith Spin             	956	4
1477	Suyama, Walter C.                  	Asoc. Jap. Burzaco            	956	4
1478	Turco, Juan Cruz                   	Lourdes                       	955	4
1479	Werthamer, David                   	Social Club TDM               	955	4
1480	Nigra, Guido                       	Peñarol                       	954	4
1481	Garompolo, Alejandro               	Club Italiano JCPaz           	954	4
1482	Torcivia, Juan                     	Ingeniero Acosta              	953	4
1483	Wickmann, Lautaro                  	Nichia Gakuin                 	953	4
1484	Paccaloni, Sergio                  	Peretz                        	952	4
1485	Ramos, Nicolas J.                  	Ateneo de Versailles          	952	4
1486	Levy, Damián                       	Libre                         	951	4
1487	Linares, Exequiel                  	CAVA                          	951	4
1488	Vasallo, Diego                     	Libre                         	951	4
1489	Petriz, Rodolfo                    	Fenix                         	951	4
1490	Toscano, Marcelo                   	Alvear Club                   	950	4
1491	Mattioli, Martin R.                	Ateneo de Versailles          	950	4
1492	Izquierdo, Guillermo               	Macabi                        	950	4
1493	Saragovi, Daniel                   	River Plate                   	949	4
1494	Rosado, Facundo                    	Ingeniero Acosta              	949	4
1495	Michan, Federico                   	Libre                         	948	4
1496	Tertnik, Francisco                 	Arg Takkyu                    	948	4
1497	Mendaro, Adrian G                  	CTDM Nizetich                 	948	4
1498	Saffar, Claudio                    	Inst.Atlet. Cultural          	948	4
1499	Higa, Guido                        	Nichia Gakuin                 	947	4
1500	Chapuis, Humberto                  	TMR                           	947	4
1501	Galindez, Oscar                    	El Galpong                    	947	4
1502	Tiggi, Lucas                       	Estacion Ping Pong            	947	4
1503	Dellacha, Juan                     	Libre                         	946	4
1504	Penedo, Oscar                      	Libre                         	946	4
1505	Striglio, Lidia                    	River Plate                   	946	4
1506	Viegas, Lucas                      	TMR                           	946	4
1507	Goya, Emilio                       	Libre                         	946	4
1508	Gadacz, Román                      	Libre                         	945	4
