pos	id	jugador	club	puntos	categoria
4095	3538	Lagoria, Carlos                    	Asoc. Yabrudense              	500	7
4096	3550	Campodonico, Diego C.              	Atlanta                       	500	7
4097	3556	Nacul, Nestor                      	Atlanta                       	500	7
4098	3569	Martinez, Diego                    	Jorge Newbery TDM             	500	7
4099	3575	Bustamante, Carlos                 	Jorge Newbery TDM             	500	7
4100	3582	Zugman, Matias                     	Sociedad Hebraica             	500	7
4101	3583	Zugman, Adrian                     	Sociedad Hebraica             	500	7
4102	3639	Curatelli, Ariel                   	Inst.Atlet. Cultural          	500	7
4103	3722	Rodriguez, Felipe                  	Libertad                      	500	7
4104	3725	Di Giovanni, Hernan                	Bersie TDM                    	500	7
4105	3731	Mansilla, Jesus                    	CASA de Padua                 	500	7
4106	3732	Solano, Lautaro                    	CASA de Padua                 	500	7
4107	3733	Clementin, Cesar                   	CASA de Padua                 	500	7
4108	3734	Perez, Carlos E.                   	Nikkei TDM                    	500	7
4109	3748	Campos, Jose Maria                 	Estacion Ping Pong            	500	7
4110	3764	Bugliot, Iñaqui                    	Inst.Atlet. Cultural          	500	7
4111	3798	Oviedo, Hector                     	Adrogue Sith Spin             	500	7
4112	3804	Nuñez, Valentino                   	Libre                         	500	7
4113	3807	Abrigo, Rodrigo                    	Torre Tanque TDM              	500	7
4114	3808	Joseph, Roberto                    	Libre                         	500	7
4115	3827	Dellanna, Facundo                  	Peñarol                       	500	7
4116	3831	Rodriguez, Leandro                 	Peñarol                       	500	7
4117	3833	Ordoñez Mejias, Juan Enrique       	Ateneo de Versailles          	500	7
4118	3835	Barrientos Santacruz, Nelson       	Ateneo de Versailles          	500	7
4119	3840	Occhi, Franco                      	Bersie TDM                    	500	7
4120	3852	Cayeta, Daniela                    	La Huella                     	500	7
4121	3867	Majul, Daniel                      	Jorge Newbery TDM             	500	7
4122	3868	Perez, Diego                       	Jorge Newbery TDM             	500	7
4123	3779	Mola, Mariano                      	Tigre TDM                     	500	7
4124	3806	Perazoli, Stefano                  	Ateneo de Versailles          	500	7
4125	3869	Santillan, Mariano                 	Ferrocarril Oeste             	500	7
4126	3872	Muñoz, Marcos A                    	Ferrocarril Oeste             	500	7
4127	4827	Sardi Hernandez, Lucas             	Estacion Ping Pong            	500	7
4128	4835	Gainza, Marcelo F.                 	Def. Santos Lugares           	500	7
4129	2239	Parodi, Gustavo                    	TMR                           	499	7
4130	2257	Hormeche, Adriana                  	Nichia Gakuin                 	499	7
4131	2469	Cohen, Ariel                       	Libre                         	499	7
4132	2505	Marini, Eduardo                    	Ferrocarril Oeste             	499	7
4133	2548	Miñones, Ramiro                    	Fenix                         	499	7
4134	2620	Pages, Santiago                    	Libre                         	499	7
4135	3718	Molteni, Santiago                  	Nikkei TDM                    	499	7
4136	3844	Duduletz, Roy                      	U.V.V.A.                      	499	7
4137	4760	Soplan, Pablo                      	Boca Juniors                  	499	7
4138	2382	Galarce, Lucas                     	Def. Santos Lugares           	498	7
4139	2546	Dolcet, Luciano D                  	Lourdes                       	498	7
4140	3560	Ricciardi, Hernan M.               	Jorge Newbery TDM             	498	7
4141	3863	Fortunato, Ivan                    	Jorge Newbery TDM             	498	7
4142	3809	Panero, Nicolas                    	Def. Santos Lugares           	498	7
4143	4086	Rey, Nicolas F.                    	Padilla                       	498	7
4144	2634	Bonnin, Marta Beatriz              	Peretz                        	497	7
4145	2754	Jarkowski, Ivan                    	Atlanta                       	497	7
4146	3058	Soldi, Daniel M.                   	Gimnasty                      	497	7
4147	3630	Cazal Rivera, Victor               	CASA de Padua                 	497	7
4148	2959	Szwarc, Uriel                      	Peñarol                       	497	7
4149	3993	Sigot, Jonatan                     	CAVA                          	497	7
4150	4173	Reiners, Joaquin                   	Boca Juniors                  	497	7
4151	4431	Siciliano, Kiara                   	Def. Santos Lugares           	497	7
4152	4713	Menin, Felipe                      	Tigre TDM                     	497	7
4153	2192	Avila, Maria Luz                   	Zenit                         	497	7
4154	1721	Taborda, Matías                    	Libre                         	496	7
4155	2137	Lezcano, RIcardo J                 	Ateneo de Versailles          	496	7
4156	2687	Diaz, Armando                      	La Legión TDM                 	496	7
4157	3454	Teijeiro Bourse, Christian         	CASA de Padua                 	496	7
4158	3547	Agrelo Brito, Luis E.              	Atlanta                       	496	7
4159	3683	Gamarra, Mario                     	Jorge Newbery TDM             	496	7
4160	3755	Aguilar Diaz, Jefferson            	Spin TDM                      	496	7
4161	4000	Müller, Luca                       	TDM Cañuelas                  	496	7
4162	2178	Mellado, Ricardo                   	Oeste TDM                     	495	7
4163	2252	Lerman, Fernando                   	Fenix                         	495	7
4164	2500	Poupat, Jose                       	San Lorenzo                   	495	7
4165	3311	Roman, Gonzalo                     	Libre                         	495	7
4166	3402	Israelit, Diego                    	Sociedad Hebraica             	495	7
4167	3442	Marana, Mauricio                   	CASA de Padua                 	495	7
4168	3897	Zolkwer, Luca                      	Atlanta                       	495	7
4169	2664	Lacoa, Esteban                     	Zenit                         	495	7
4170	2083	Garcia, Rodrigo                    	Nikkei TDM                    	494	7
4171	2294	Orrego, Dylan                      	Rioja                         	494	7
4172	2476	Korniansky, Shai                   	Libre                         	494	7
4173	2525	De Bonis, Hernan                   	U.V.V.A.                      	494	7
4174	2686	Espinosa Chila, Favio              	La Legión TDM                 	494	7
4175	2711	Sanchez, Gustavo F.                	Libre                         	494	7
4176	2747	Ramirez, Cristino A.               	Atlanta                       	494	7
4177	2833	Berardi, Leon                      	Arg Takkyu                    	494	7
4178	3682	Aleman, Yoel                       	Jorge Newbery TDM             	494	7
4179	3686	Martinez, Santiago                 	Peñarol                       	494	7
4180	4045	Moraga Ortega, Cecilia             	Club Italiano JCPaz           	494	7
4181	3546	Vinueza Lozada, Juan Jose          	Atlanta                       	494	7
4182	2878	Carrillo, Gerardo                  	U.V.V.A.                      	493	7
4183	2153	Giovini, Juan                      	Tigre TDM                     	492	7
4184	2937	Lindenboim Manera, Valentina       	Macabi                        	492	7
4185	3089	Botros, Emanuel                    	Adrogue Sith Spin             	492	7
4186	3127	Curak, Gaston                      	Atlanta                       	492	7
4187	3271	Taborda, Luciano G.                	Libre                         	492	7
4188	3740	Buitron, Agustin                   	CASA de Padua                 	492	7
4189	3849	Lopez Lange, Santiago              	U.V.V.A.                      	492	7
4190	4438	Prendes, Gonzalo                   	Club 4F                       	492	7
4191	4697	Salem, Martin                      	UCA Marash Argentina          	492	7
4192	2140	Meisegeier, Damian                 	Ateneo de Versailles          	491	7
4193	2757	Aidelman, Simon                    	Atlanta                       	491	7
4194	2771	Bernardou Fellay, Sergio           	Ateneo de Versailles          	491	7
4195	3618	Di Girolamo Lenze, Antonia         	Nikkei TDM                    	491	7
4196	3681	Varela, Maximiliano                	Jorge Newbery TDM             	491	7
4197	3705	Bach Laguzzi, Ester Rosa           	Bar Ping Pong NTE             	491	7
4198	3707	Garbini Camiña, Franco             	Libertad                      	491	7
4199	3914	Cabrera, Armando E.                	La Legión TDM                 	491	7
4200	4516	Rodriguez Leisz, Alejandro         	TMR                           	491	7
4201	2740	Villarruel, Santiago               	Alvear Club                   	490	7
4202	2775	Castiglioni, Tomas                 	Ateneo de Versailles          	490	7
4203	3091	Neman, Veronica                    	Asoc. Yabrudense              	490	7
4204	3629	Morales, Ricardo                   	Libre                         	490	7
